"planet_name","difficulty","p_switch","do_switch","resp_type","keyTrial.keys","keyTrial.rt","too_slow_trial","trial_num","correct","reward","trial_type","alien_body_color","alien_stomach_pattern","study","age","participant"
"moon","Easy",0.2,0,"correct","j",683.9,0,1,1,"10","color","orange","solid","study1",20.3780821917808,32
NA,"Easy",0.2,0,"correct","f",484.4,0,2,1,"10","color","blue","solid","study1",20.3780821917808,32
NA,"Easy",0.2,0,"correct","j",500.9,0,3,1,"10","color","orange","striped","study1",20.3780821917808,32
NA,"Easy",0.2,1,"correct","f",733.7,0,4,1,"10","pattern","orange","striped","study1",20.3780821917808,32
NA,"Easy",0.2,0,"too_slow",NA,NA,1,5,NA,"10","pattern","orange","solid","study1",20.3780821917808,32
NA,"Easy",0.2,0,"correct","f",501,0,6,1,"10","pattern","orange","striped","study1",20.3780821917808,32
NA,"Easy",0.2,0,"correct","j",517.4,0,7,1,"10","pattern","orange","solid","study1",20.3780821917808,32
NA,"Easy",0.2,0,"correct","j",633.3,0,8,1,"10","pattern","blue","solid","study1",20.3780821917808,32
NA,"Easy",0.2,0,"correct","j",534,0,9,1,"10","pattern","orange","solid","study1",20.3780821917808,32
NA,"Easy",0.2,1,"correct","j",683.9,0,10,1,"10","color","orange","solid","study1",20.3780821917808,32
NA,"Easy",0.2,1,"correct","f",467.1,0,11,1,"10","pattern","orange","striped","study1",20.3780821917808,32
NA,"Easy",0.2,0,"correct","f",533.5,0,12,1,"10","pattern","orange","striped","study1",20.3780821917808,32
NA,"Easy",0.2,0,"correct","j",450.9,0,13,1,"10","pattern","orange","solid","study1",20.3780821917808,32
NA,"Easy",0.2,0,"correct","f",450,0,14,1,"10","pattern","blue","striped","study1",20.3780821917808,32
NA,"Easy",0.2,0,"correct","f",467.3,0,15,1,"10","pattern","orange","striped","study1",20.3780821917808,32
NA,"Easy",0.2,1,"correct","f",517,0,16,1,"10","color","blue","solid","study1",20.3780821917808,32
NA,"Easy",0.2,0,"correct","j",450.9,0,17,1,"10","color","orange","solid","study1",20.3780821917808,32
NA,"Easy",0.2,0,"correct","j",616.6,0,18,1,"10","color","orange","striped","study1",20.3780821917808,32
NA,"Easy",0.2,0,"correct","j",634.5,0,19,1,"10","color","orange","solid","study1",20.3780821917808,32
NA,"Easy",0.2,0,"correct","j",450.4,0,20,1,"10","color","orange","striped","study1",20.3780821917808,32
"moon","Easy",0.2,0,"correct","f",634.5,0,21,1,"1","color","blue","striped","study1",20.3780821917808,32
NA,"Easy",0.2,0,"correct","j",417.7,0,22,1,"1","color","orange","striped","study1",20.3780821917808,32
NA,"Easy",0.2,1,"correct","f",683.8,0,23,1,"1","pattern","blue","striped","study1",20.3780821917808,32
NA,"Easy",0.2,1,"correct","f",533.4,0,24,1,"1","color","blue","solid","study1",20.3780821917808,32
NA,"Easy",0.2,0,"correct","f",434.4,0,25,1,"1","color","blue","solid","study1",20.3780821917808,32
NA,"Easy",0.2,0,"correct","f",501.3,0,26,1,"1","color","blue","striped","study1",20.3780821917808,32
NA,"Easy",0.2,0,"correct","j",467.2,0,27,1,"1","color","orange","striped","study1",20.3780821917808,32
